n_train,nc_acc,nc_f1,rf_acc,rf_f1,rf_f1_idle,rf_f1_jab,rf_f1_cross,rf_f1_hook,rf_f1_uppercut,rf_f1_block_high,fraction,seed
60,0.44,0.42989519870136045,0.84,0.8262049605772862,0.9354838709677419,0.7887323943661971,0.8372093023255814,0.6,0.8727272727272727,0.9230769230769231,0.1,0
60,0.4066666666666667,0.3710872460872461,0.7133333333333334,0.6928266918108249,0.9473684210526315,0.65625,0.6470588235294118,0.5238095238095238,0.7878787878787878,0.5945945945945946,0.1,1
60,0.37333333333333335,0.3453360491837527,0.8466666666666667,0.8304018999662713,0.9830508474576272,0.8524590163934426,0.8372093023255814,0.5806451612903226,0.8059701492537313,0.9230769230769231,0.1,2
60,0.41333333333333333,0.43897906537750386,0.8466666666666667,0.8353253878130861,0.9354838709677419,0.8135593220338984,0.8205128205128205,0.6666666666666666,0.8709677419354839,0.9047619047619048,0.1,3
60,0.56,0.5773273768672101,0.84,0.8233126233126233,0.9333333333333333,0.8307692307692308,0.7619047619047619,0.6060606060606061,0.8888888888888888,0.918918918918919,0.1,4
120,0.4666666666666667,0.4611286204656095,0.8933333333333333,0.8929196628687291,0.9354838709677419,0.8484848484848485,0.8717948717948718,0.8421052631578947,0.9122807017543859,0.9473684210526315,0.2,0
120,0.4266666666666667,0.4366661876908488,0.84,0.8289865683712555,0.9655172413793104,0.7936507936507936,0.85,0.6285714285714286,0.8524590163934426,0.8837209302325582,0.2,1
120,0.5,0.4989050515536177,0.9266666666666666,0.9211058217806225,0.9830508474576272,0.8813559322033898,0.9,0.8421052631578947,0.967741935483871,0.9523809523809523,0.2,2
120,0.46,0.4954809158602847,0.8933333333333333,0.8838983790596694,0.9666666666666667,0.8709677419354839,0.8108108108108109,0.7692307692307693,0.9333333333333333,0.9523809523809523,0.2,3
120,0.5266666666666666,0.5114601018877293,0.9066666666666666,0.8992957697364062,0.9473684210526315,0.8888888888888888,0.8205128205128205,0.8421052631578947,0.9666666666666667,0.9302325581395349,0.2,4
180,0.5066666666666667,0.5191408338681014,0.9133333333333333,0.9138871374527112,0.9666666666666667,0.875,0.9230769230769231,0.8333333333333334,0.8852459016393442,1.0,0.3,0
180,0.44,0.45891360362482797,0.9,0.8966087999766342,0.9830508474576272,0.84375,0.918918918918919,0.8333333333333334,0.9310344827586207,0.8695652173913043,0.3,1
180,0.5133333333333333,0.5251548669683329,0.9533333333333334,0.9506817365152377,0.9830508474576272,0.9354838709677419,0.9230769230769231,0.8947368421052632,0.967741935483871,1.0,0.3,2
180,0.47333333333333333,0.4751958689458689,0.92,0.9140631055995142,0.9666666666666667,0.9,0.8648648648648649,0.8717948717948718,0.9508196721311475,0.9302325581395349,0.3,3
180,0.5533333333333333,0.5519882355299022,0.9066666666666666,0.9028214317688001,0.9473684210526315,0.8571428571428571,0.8648648648648649,0.8717948717948718,0.9666666666666667,0.9090909090909091,0.3,4
240,0.5133333333333333,0.5323893698893699,0.9,0.8859722578134613,0.9830508474576272,0.9206349206349206,0.8292682926829268,0.7272727272727273,0.9032258064516129,0.9523809523809523,0.4,0
240,0.44666666666666666,0.46663548597860866,0.9066666666666666,0.9044584635985627,0.9830508474576272,0.8387096774193549,0.9,0.8648648648648649,0.9310344827586207,0.9090909090909091,0.4,1
240,0.5066666666666667,0.5142815452146081,0.9466666666666667,0.9447253462533598,1.0,0.9206349206349206,0.9473684210526315,0.8648648648648649,0.9354838709677419,1.0,0.4,2
240,0.4666666666666667,0.4843111310995562,0.92,0.9119256900495416,0.9830508474576272,0.9180327868852459,0.8717948717948718,0.8108108108108109,0.9354838709677419,0.9523809523809523,0.4,3
240,0.49333333333333335,0.4778943130773794,0.9466666666666667,0.942821888852219,0.9830508474576272,0.9206349206349206,0.9230769230769231,0.8947368421052632,0.9830508474576272,0.9523809523809523,0.4,4
300,0.5066666666666667,0.5283725310227197,0.94,0.9438864255222802,0.9830508474576272,0.8787878787878788,0.9473684210526315,0.9230769230769231,0.9310344827586207,1.0,0.5,0
300,0.4533333333333333,0.4710950785937813,0.9,0.9014143026977189,0.9830508474576272,0.8064516129032258,0.9230769230769231,0.8947368421052632,0.9122807017543859,0.8888888888888888,0.5,1
300,0.49333333333333335,0.48484633429553875,0.9466666666666667,0.9456302132177467,0.9830508474576272,0.90625,0.9230769230769231,0.8947368421052632,0.9666666666666667,1.0,0.5,2
300,0.48,0.4934976718456068,0.9333333333333333,0.9280862057299268,0.9830508474576272,0.9354838709677419,0.8888888888888888,0.85,0.9354838709677419,0.975609756097561,0.5,3
300,0.4866666666666667,0.4837058860072235,0.9333333333333333,0.9297087118046156,0.9830508474576272,0.8852459016393442,0.9230769230769231,0.8947368421052632,0.9830508474576272,0.9090909090909091,0.5,4
359,0.5133333333333333,0.531727095115598,0.9466666666666667,0.9493978334499191,0.9830508474576272,0.8955223880597015,0.9473684210526315,0.9230769230769231,0.9473684210526315,1.0,0.6,0
359,0.4666666666666667,0.4852264170392384,0.9466666666666667,0.9441987005615792,0.9836065573770492,0.9,0.9230769230769231,0.9230769230769231,0.9830508474576272,0.9523809523809523,0.6,1
359,0.5266666666666666,0.5331368899917287,0.9533333333333334,0.9511653971957273,0.9830508474576272,0.9230769230769231,0.9230769230769231,0.8947368421052632,0.9830508474576272,1.0,0.6,2
359,0.5,0.5188419412861299,0.9666666666666667,0.9665849494758416,0.9830508474576272,0.9354838709677419,0.9473684210526315,0.95,0.9836065573770492,1.0,0.6,3
359,0.4866666666666667,0.47496928375576913,0.96,0.9563941021066356,0.9830508474576272,0.9375,0.9230769230769231,0.8947368421052632,1.0,1.0,0.6,4
419,0.5066666666666667,0.5187037827775599,0.9733333333333334,0.9735768040743998,0.9830508474576272,0.9523809523809523,0.9473684210526315,0.975609756097561,0.9830508474576272,1.0,0.7,0
419,0.48,0.5049588407159296,0.9466666666666667,0.9446437166502776,0.9830508474576272,0.9032258064516129,0.9230769230769231,0.9230769230769231,0.9830508474576272,0.9523809523809523,0.7,1
419,0.5066666666666667,0.5092827014733708,0.9733333333333334,0.976593393241835,0.9830508474576272,0.9354838709677419,0.9743589743589743,1.0,0.9666666666666667,1.0,0.7,2
419,0.4866666666666667,0.5031869946863448,0.96,0.9612815977113969,0.9830508474576272,0.9206349206349206,0.9743589743589743,0.9473684210526315,0.9666666666666667,0.975609756097561,0.7,3
419,0.49333333333333335,0.46597765142541264,0.9466666666666667,0.9446229680011095,0.9830508474576272,0.9206349206349206,0.9230769230769231,0.9230769230769231,0.9655172413793104,0.9523809523809523,0.7,4
479,0.5133333333333333,0.5289069672546979,0.9533333333333334,0.9559703018138567,0.9830508474576272,0.90625,0.9473684210526315,0.95,0.9491525423728814,1.0,0.8,0
479,0.5,0.5022901829353442,0.9533333333333334,0.9541469139373687,0.9830508474576272,0.9180327868852459,0.9473684210526315,0.95,0.9508196721311475,0.975609756097561,0.8,1
479,0.5333333333333333,0.5465233152733153,0.98,0.9821402702758636,0.9830508474576272,0.9523809523809523,0.9743589743589743,1.0,0.9830508474576272,1.0,0.8,2
479,0.48,0.4973863329593553,0.9533333333333334,0.9495042026991669,0.9830508474576272,0.9375,0.9230769230769231,0.8947368421052632,0.9830508474576272,0.975609756097561,0.8,3
479,0.52,0.5148343837710787,0.9533333333333334,0.9514167029669304,0.9830508474576272,0.9206349206349206,0.9230769230769231,0.9230769230769231,0.9830508474576272,0.975609756097561,0.8,4
539,0.5133333333333333,0.5304449452213286,0.9666666666666667,0.9680299270403713,0.9830508474576272,0.9354838709677419,0.9473684210526315,0.975609756097561,0.9666666666666667,1.0,0.9,0
539,0.5066666666666667,0.5157424250236832,0.9666666666666667,0.9668283526613143,0.9830508474576272,0.9375,0.9473684210526315,0.95,0.9830508474576272,1.0,0.9,1
539,0.52,0.5312642554578039,0.9733333333333334,0.9738069369425301,0.9830508474576272,0.9523809523809523,0.95,0.9743589743589743,0.9830508474576272,1.0,0.9,2
539,0.49333333333333335,0.48753778695639155,0.9733333333333334,0.9721333701485352,0.9830508474576272,0.9523809523809523,0.9473684210526315,0.95,1.0,1.0,0.9,3
539,0.5333333333333333,0.541446217279464,0.96,0.9599018482226374,0.9830508474576272,0.9354838709677419,0.9473684210526315,0.975609756097561,0.9655172413793104,0.9523809523809523,0.9,4
